hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,result,grade,performance_category
7,99,Yes,9,1,91.0,Pass,A,Excellent
4,82,No,4,2,65.0,Pass,D,Good
8,51,Yes,7,2,45.0,Fail,F,Average
5,52,Yes,5,2,36.0,Fail,F,Poor
7,75,No,8,5,66.0,Pass,D,Good
3,78,No,9,6,61.0,Pass,D,Good
7,73,Yes,5,6,63.0,Pass,D,Good
8,45,Yes,4,6,42.0,Fail,F,Average
5,77,No,8,2,61.0,Pass,D,Good
4,89,No,4,0,69.0,Pass,D,Good
8,91,No,4,5,84.0,Pass,B,Excellent
8,79,No,6,2,73.0,Pass,C,Good
3,47,No,9,2,27.0,Fail,F,Poor
6,47,No,4,2,33.0,Fail,F,Poor
5,79,No,7,8,68.0,Pass,D,Good
2,72,No,4,3,43.0,Fail,F,Average
8,73,Yes,8,4,67.0,Pass,D,Good
6,83,Yes,7,2,70.0,Pass,C,Good
2,54,Yes,4,9,30.0,Fail,F,Poor
5,75,No,7,0,63.0,Pass,D,Good
1,99,Yes,4,3,71.0,Pass,C,Good
6,96,No,9,0,85.0,Pass,B,Excellent
9,74,Yes,7,6,73.0,Pass,C,Good
1,85,No,5,6,57.0,Pass,E,Average
3,61,No,6,3,35.0,Fail,F,Poor
7,62,Yes,7,4,49.0,Fail,F,Average
4,79,No,8,9,66.0,Pass,D,Good
9,84,Yes,6,6,83.0,Pass,B,Excellent
3,94,Yes,6,5,74.0,Pass,C,Good
5,90,Yes,4,3,74.0,Pass,C,Good
3,61,Yes,7,3,39.0,Fail,F,Poor
7,44,Yes,9,1,36.0,Fail,F,Poor
5,70,Yes,6,9,58.0,Pass,E,Average
9,52,Yes,8,1,47.0,Fail,F,Average
7,67,Yes,9,3,60.0,Pass,D,Average
2,97,Yes,9,4,74.0,Pass,C,Good
4,59,No,8,3,42.0,Fail,F,Average
9,72,No,8,2,68.0,Pass,D,Good
2,55,Yes,4,1,32.0,Fail,F,Poor
9,68,No,5,3,64.0,Pass,D,Good
5,62,No,7,4,45.0,Fail,F,Average
2,63,Yes,6,0,39.0,Fail,F,Poor
4,73,Yes,7,0,58.0,Pass,E,Average
7,46,No,9,5,36.0,Fail,F,Poor
8,77,Yes,6,4,71.0,Pass,C,Good
3,76,Yes,4,3,54.0,Pass,E,Average
1,43,Yes,7,0,17.0,Fail,F,Poor
4,73,No,4,6,54.0,Pass,E,Average
2,81,Yes,4,3,58.0,Pass,E,Average
8,61,No,7,2,53.0,Pass,E,Average
4,44,Yes,7,6,27.0,Fail,F,Poor
2,89,Yes,6,1,65.0,Pass,D,Good
6,81,No,9,9,75.0,Pass,C,Good
6,62,Yes,9,0,52.0,Pass,E,Average
4,93,No,8,3,78.0,Pass,C,Good
6,99,No,4,7,91.0,Pass,A,Excellent
2,54,Yes,9,5,33.0,Fail,F,Poor
2,70,Yes,5,8,47.0,Fail,F,Average
4,98,No,6,0,78.0,Pass,C,Good
8,48,No,6,0,38.0,Fail,F,Poor
7,82,Yes,8,4,70.0,Pass,C,Good
9,97,Yes,8,5,98.0,Pass,A,Excellent
8,92,Yes,4,7,87.0,Pass,B,Excellent
5,64,Yes,6,2,49.0,Fail,F,Average
2,64,Yes,6,5,41.0,Fail,F,Average
5,88,No,5,2,71.0,Pass,C,Good
8,60,No,4,7,54.0,Pass,E,Average
9,48,No,4,3,42.0,Fail,F,Average
9,94,No,9,1,91.0,Pass,A,Excellent
1,87,Yes,8,8,61.0,Pass,D,Good
9,77,No,9,9,74.0,Pass,C,Good
7,61,Yes,4,7,54.0,Pass,E,Average
9,82,Yes,5,5,81.0,Pass,B,Excellent
8,62,Yes,4,2,52.0,Pass,E,Average
1,88,Yes,9,1,65.0,Pass,D,Good
8,43,Yes,7,3,36.0,Fail,F,Poor
8,68,No,7,3,61.0,Pass,D,Good
3,54,Yes,5,0,35.0,Fail,F,Poor
1,40,Yes,8,8,15.0,Fail,F,Poor
8,93,Yes,6,9,88.0,Pass,B,Excellent
3,69,No,4,7,45.0,Fail,F,Average
3,68,Yes,9,6,49.0,Fail,F,Average
1,59,Yes,8,5,33.0,Fail,F,Poor
5,72,Yes,9,2,60.0,Pass,D,Average
7,80,No,8,3,71.0,Pass,C,Good
9,83,Yes,4,1,81.0,Pass,B,Excellent
7,75,No,6,6,67.0,Pass,D,Good
9,99,No,4,1,95.0,Pass,A,Excellent
8,61,Yes,6,9,58.0,Pass,E,Average
2,52,No,9,0,29.0,Fail,F,Poor
1,46,No,5,5,21.0,Fail,F,Poor
7,47,Yes,6,3,38.0,Fail,F,Poor
7,67,Yes,8,7,60.0,Pass,D,Average
8,84,Yes,5,0,76.0,Pass,C,Good
5,82,Yes,9,8,69.0,Pass,D,Good
3,48,No,7,5,30.0,Fail,F,Poor
8,64,No,5,1,57.0,Pass,E,Average
6,95,Yes,6,7,81.0,Pass,B,Excellent
3,55,Yes,5,4,36.0,Fail,F,Poor
1,49,Yes,9,4,25.0,Fail,F,Poor
3,50,No,5,4,27.0,Fail,F,Poor
5,70,Yes,9,6,61.0,Pass,D,Good
3,51,No,7,6,34.0,Fail,F,Poor
1,99,No,6,9,76.0,Pass,C,Good
5,70,No,8,6,57.0,Pass,E,Average
7,53,No,5,9,45.0,Fail,F,Average
7,90,Yes,4,1,76.0,Pass,C,Good
9,83,Yes,8,7,83.0,Pass,B,Excellent
3,71,Yes,5,0,50.0,Pass,E,Average
7,89,No,8,1,81.0,Pass,B,Excellent
1,92,No,4,6,66.0,Pass,D,Good
4,56,Yes,8,3,38.0,Fail,F,Poor
4,74,No,8,9,56.0,Pass,E,Average
5,40,No,4,9,25.0,Fail,F,Poor
7,68,No,4,8,56.0,Pass,E,Average
7,90,Yes,4,8,82.0,Pass,B,Excellent
4,43,Yes,7,2,23.0,Fail,F,Poor
7,62,Yes,9,2,56.0,Pass,E,Average
3,67,No,9,8,46.0,Fail,F,Average
6,55,Yes,4,9,43.0,Fail,F,Average
2,51,Yes,9,7,30.0,Fail,F,Poor
9,92,Yes,8,0,92.0,Pass,A,Excellent
5,60,No,4,5,45.0,Fail,F,Average
6,84,No,5,6,70.0,Pass,C,Good
4,56,No,4,7,36.0,Fail,F,Poor
7,79,No,4,1,71.0,Pass,C,Good
9,52,No,9,0,49.0,Fail,F,Average
7,91,Yes,6,3,82.0,Pass,B,Excellent
1,97,Yes,8,0,71.0,Pass,C,Good
1,71,No,9,1,43.0,Fail,F,Average
9,76,No,8,2,77.0,Pass,C,Good
9,89,Yes,5,3,86.0,Pass,B,Excellent
4,54,No,7,5,34.0,Fail,F,Poor
9,51,No,6,7,49.0,Fail,F,Average
3,88,No,5,8,69.0,Pass,D,Good
7,96,No,5,3,84.0,Pass,B,Excellent
6,54,No,8,0,41.0,Fail,F,Average
8,73,Yes,6,4,68.0,Pass,D,Good
9,45,Yes,8,4,44.0,Fail,F,Average
5,56,No,7,8,41.0,Fail,F,Average
1,87,No,8,5,58.0,Pass,E,Average
